ksss;competitor;segment
104801;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;0
115007;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
131803;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
143001;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
153001;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;1,1
153002;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
5009;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
3145;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1,1
3146;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
3143;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;0
3163;Наличие объектов общественного питания в шаговой доступности от АЗС;1,1
6416;Нет конкурентов ;1,1
4078;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;0
6417;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
5010;Наличие объектов общественного питания в шаговой доступности от АЗС;0
6418;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;1,1
3165;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1,1
6419;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1,1
3408;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
6420;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
6421;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
5012;Наличие объектов общественного питания в шаговой доступности от АЗС;0
5013;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1,1
3161;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1,1
3160;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
3148;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;1,1
3168;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;0
3173;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1,1
3177;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1,1
3172;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;1,1
5014;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
3410;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;1,1
3411;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;1,1
3412;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;1,1
3743;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
6422;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
5015;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;0
5016;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
5017;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;0
6423;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
6425;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
6426;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
6427;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1,1
6428;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
6429;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;1,1
6430;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
6431;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;1,1
5020;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
5021;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
5022;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;0
5023;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
6432;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;0
6433;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
6434;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;0
6435;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1,1
8755;Наличие объектов общественного питания в шаговой доступности от АЗС;1,1
8903;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1,1
9337;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;1,1
9338;Наличие объектов общественного питания в шаговой доступности от АЗС;1,1
9339;Нет конкурентов ;1,1
9426;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;1,1
9719;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
31401;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
35804;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
44001;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;0
44002;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
54402;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
54403;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
47401;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
63603;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;1,1
64406;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1,1
63604;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
64405;Нет конкурентов ;1,1
69201;Наличие объектов общественного питания в шаговой доступности от АЗС;1,1
5024;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1,1
159202;Нет конкурентов ;0
159203;Нет конкурентов ;0
163623;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
163624;Нет конкурентов ;0
163625;Нет конкурентов ;0
160413;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1
160003;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
160005;Нет конкурентов ;0
160006;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;1,1
160007;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;1,1
160008;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
160010;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
160011;Нет конкурентов ;0
160012;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
52401;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;0
52402;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
52405;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
52406;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
52407;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
52408;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
52409;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;0
52410;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
52411;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
52412;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
52414;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;0
137605;Отсутствуют  точки продаж  в радиусе 60км, при наличии жизни в радиусе 10км;0
137606;Нет конкурентов ;0
134033;Нет конкурентов ;0
134034;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;0
135044;Нет конкурентов ;0
134035;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1
135049;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1
134036;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1
134037;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1
134038;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;0
134039;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
134040;Нет конкурентов ;0
134041;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
135070;Наличие объектов общественного питания в шаговой доступности от АЗС;1
134042;Наличие объектов общественного питания в шаговой доступности от АЗС;1
134043;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1
135046;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
135047;Наличие объектов общественного питания в шаговой доступности от АЗС;0
134044;Наличие объектов общественного питания в шаговой доступности от АЗС;0
134045;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1
135054;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
134047;Наличие объектов общественного питания в шаговой доступности от АЗС;1
134060;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1
134048;Наличие объектов общественного питания в шаговой доступности от АЗС;1
134049;Наличие объектов общественного питания в шаговой доступности от АЗС;0
134050;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;0
134057;Наличие объектов общественного питания в шаговой доступности от АЗС;1
134051;Наличие объектов общественного питания в шаговой доступности от АЗС;0
134052;Наличие объектов общественного питания в шаговой доступности от АЗС;0
135018;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;0
135038;Нет конкурентов ;1,1
135037;Нет конкурентов ;1,1
135012;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;0
134054;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
134053;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;0
134055;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1
135042;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
135043;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
135011;Наличие объектов общественного питания в шаговой доступности от АЗС;1,1
135010;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;1
134070;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;0
134071;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;1
134074;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
134075;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;1,1
135072;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;0
134076;Нет конкурентов ;1,1
135006;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;0
134134;Наличие объектов общественного питания в шаговой доступности от АЗС;0
134132;Наличие объектов общественного питания в шаговой доступности от АЗС;1
134133;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1
134131;Наличие объектов общественного питания в шаговой доступности от АЗС;1
135039;Нет конкурентов ;1,1
135051;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
134135;Наличие объектов общественного питания в шаговой доступности от АЗС;0
134072;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1
134073;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1
134004;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;0
134015;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
134016;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
134017;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1
135069;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1
134063;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1
134130;Наличие объектов общественного питания в шаговой доступности от АЗС;0
134009;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1
134014;Нет конкурентов ;1
134067;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
134068;Наличие объектов общественного питания в шаговой доступности от АЗС;0
134018;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;0
135008;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1
134012;Нет конкурентов ;0
134013;Нет конкурентов ;0
134010;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
134022;Наличие объектов общественного питания в шаговой доступности от АЗС;0
134019;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;0
134020;Наличие объектов общественного питания в шаговой доступности от АЗС;0
135056;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1
134021;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;1
134023;Нет конкурентов ;0
134064;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1
134066;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
134024;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1
134025;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;0
134027;Нет конкурентов ;0
134029;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
134030;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1
134136;Нет конкурентов ;0
134031;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;1
134032;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;0
135075;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1
134006;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;0
134007;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;0
134008;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;0
134005;Наличие объектов общественного питания в шаговой доступности от АЗС;0
134011;Наличие объектов общественного питания в шаговой доступности от АЗС;1
134026;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1
134028;Наличие объектов общественного питания в шаговой доступности от АЗС;0
134199;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1
134058;Наличие объектов общественного питания в шаговой доступности от АЗС;0
134062;Наличие объектов общественного питания в шаговой доступности от АЗС;0
134059;Наличие объектов общественного питания в шаговой доступности от АЗС;0
134061;Наличие объектов общественного питания в шаговой доступности от АЗС;1
135801;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1
134069;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;1
134065;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
155136;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;0,9
134176;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;0,9
134177;Наличие объектов общественного питания в шаговой доступности от АЗС;0
134178;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1
134179;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0,9
134180;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
134181;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
134183;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
134184;Наличие объектов общественного питания в шаговой доступности от АЗС;0,9
134185;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
134187;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
134188;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1
135024;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
135034;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;0,9
135030;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;0
135033;Наличие объектов общественного питания в шаговой доступности от АЗС;0
135031;Нет конкурентов ;0
135032;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;0
135023;Нет конкурентов ;1
135022;Наличие объектов общественного питания в шаговой доступности от АЗС;0,9
135029;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;0,9
135027;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
135025;Наличие объектов общественного питания в шаговой доступности от АЗС;1
135036;Наличие объектов общественного питания в шаговой доступности от АЗС;0
135028;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;0
135035;Нет конкурентов ;0
135026;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0,9
135019;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;0
135004;Наличие объектов общественного питания в шаговой доступности от АЗС;0
135003;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0,9
135002;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
135001;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
134200;Нет конкурентов ;0
135005;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
135020;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
135053;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
135041;Нет конкурентов ;0
134186;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
155109;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
155129;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;1
7064;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
3150;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
3205;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
3230;Наличие объектов общественного питания в шаговой доступности от АЗС;0
3206;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
3207;Наличие объектов общественного питания в шаговой доступности от АЗС;1,1
3741;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
3740;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
6394;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
7067;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
6398;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
6399;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;0
7071;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;0
6400;Наличие объектов общественного питания в шаговой доступности от АЗС;1
9404;Наличие объектов общественного питания в шаговой доступности от АЗС;1
155121;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
155122;Наличие объектов общественного питания в шаговой доступности от АЗС;1
155123;Наличие объектов общественного питания в шаговой доступности от АЗС;1
155126;Наличие объектов общественного питания в шаговой доступности от АЗС;1
155127;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
155128;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
155130;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
155133;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
150210;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
3144;Наличие объектов общественного питания в шаговой доступности от АЗС;0
5018;Наличие объектов общественного питания в шаговой доступности от АЗС;1,1
6424;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
6438;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
6439;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
6442;Наличие объектов общественного питания в шаговой доступности от АЗС;0
8731;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
8734;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
153810;Нет конкурентов ;1,1
158401;Нет конкурентов ;1,1
155102;Нет конкурентов ;1
155103;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;1
155104;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
155105;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1
155106;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;0
155107;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
155108;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1
155111;Наличие объектов общественного питания в шаговой доступности от АЗС;1
155135;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1
155073;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
155064;Наличие объектов общественного питания в шаговой доступности от АЗС;0
155067;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
155068;Наличие объектов общественного питания в шаговой доступности от АЗС;1
155069;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
155070;Наличие объектов общественного питания в шаговой доступности от АЗС;1
155071;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;0
155092;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
155093;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
155094;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
155095;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
155096;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
155098;Нет конкурентов ;0
155097;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
155072;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;0
155091;Наличие объектов общественного питания в шаговой доступности от АЗС;1,1
135009;Наличие объектов общественного питания в шаговой доступности от АЗС;1
134120;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;0
134192;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;1
134121;Наличие объектов общественного питания в шаговой доступности от АЗС;1
134122;Наличие объектов общественного питания в шаговой доступности от АЗС;0
134123;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1
134124;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;0
134197;Наличие объектов общественного питания в шаговой доступности от АЗС;1
134125;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
134126;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1
134189;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1
134127;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1
134128;Наличие объектов общественного питания в шаговой доступности от АЗС;0
135007;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1
135014;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;0
135013;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;0
135057;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;0
135058;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;0
135059;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;0,9
135068;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;0
135076;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;0
